"id","predict"
231634,546.091518049916
204595,3258.14405229535
239328,1857.496214188
246747,3567.28340328156
215028,3517.93980240412
227966,1929.98896582112
200176,3897.72771788301
229671,1745.81283225134
206791,1906.1604626149
239876,1476.52791062202
205217,6671.23337909742
220942,4923.12747790833
213032,4672.36832518962
239197,5093.76183585494
217274,1090.61833828425
219534,1099.99165164254
241665,2207.24744088625
237581,3796.89946508608
203855,1075.41455578146
203560,1319.1567159291
213459,6404.68797676976
209033,3636.07422458057
211401,3776.97042274819
219363,2230.90036210922
245775,4790.07238712459
223281,1628.94395694629
203390,6818.00043613257
206829,1319.1567159291
203056,1238.99933773684
226412,1857.496214188
242187,1146.89246598904
230810,3375.62684879716
225498,986.55775493308
223497,3970.00874960836
213927,5441.39498203777
200239,2715.47876960769
211671,2700.86201042662
234282,3443.0686521051
200251,1034.30954682464
222505,2418.55516171349
230119,1328.83335107459
223810,5861.60971939823
221967,8219.72423150265
204781,4836.27203655861
242905,4119.2916723379
226416,2321.39006167707
215720,1346.76379753107
242341,1314.1455395123
241814,6686.75082418867
208427,5783.05103465987
229748,2075.67679310601
208333,2363.75281174619
238209,1940.1605656263
220246,3295.24194964521
201804,3375.62684879716
230498,3737.57505134686
241579,2227.5169179136
222341,2044.72909890285
238828,2598.18951528237
245288,6529.24748035726
244861,1461.41103159358
209966,4826.6535477275
223674,4092.39002078347
240954,1421.36815686499
206903,5000.47111833608
212428,2448.95693062189
221956,2072.16599300734
216640,878.123635869418
238399,1658.60076526705
218199,1161.16776824653
240181,5404.66129945303
225932,3056.38101243209
244972,5000.84815121903
220917,3999.85904360613
223469,2188.20166046657
206807,1490.50934662138
246687,3297.21335902522
214772,3864.2202298083
210624,1261.13868631545
220100,2015.9564782721
200183,1415.17029655049
226831,6188.9899643081
229275,6070.17767233888
233972,956.435459417757
224055,1346.46651357218
237891,6005.26240158647
204782,7717.51413288705
212431,4769.16385743677
227502,2250.78835781476
229790,1267.14507808911
205390,2448.95693062189
207420,2566.51763947512
209955,1878.06851431037
207501,7511.33467160964
245482,4053.56503044349
244515,4642.82732105835
200057,1477.24820757568
222147,3551.49137652282
230991,1857.496214188
211677,1407.4356538312
216048,442.719132864457
236993,5855.75122917356
213244,4732.16066013917
232567,5931.18455903171
227354,4794.69346815958
238614,1185.86696474599
215582,902.718354817317
236890,1650.71478006303
214689,2889.54719533211
231243,810.363884942231
204111,4808.59645849565
202986,1371.29684294011
246756,1394.46679720063
219927,6188.04149433437
240456,3230.77247191744
225464,6637.68811441863
205089,1976.88935514315
225678,2644.60852774455
218638,8494.84080945507
220639,1280.75094669803
236898,1041.49558385928
241042,7206.03027706531
214223,6490.73775617286
238263,1281.48920448983
225645,2242.05393607267
230058,4084.41411922091
227079,1110.79671848343
209070,1780.94081964405
246904,4666.71262412845
206368,6793.17003937019
210658,6108.4430163772
236519,1031.67409431948
238521,4063.73326871677
218920,6793.17003937019
213709,1110.49863748818
248046,4365.41476969682
219335,5867.84372372182
232908,3375.62684879716
223746,5810.74101016633
221461,616.923586098433
230814,5981.33860062709
244777,3731.85049957072
226853,5061.71183150413
215604,1042.44866794928
215589,2237.25333959594
231575,1180.95814349452
224469,1246.32532249945
238913,2086.80404648825
229684,1070.00428309827
215232,5559.21268735376
232747,1316.22108042449
245943,1280.75094669803
204456,1795.85975164345
231009,3623.83427173388
220389,5157.41720356753
